ID	REFSEQ	GENE_SYMBOL	GENE_NAME	ENSEMBL_ID
A_33_P3278313	NM_001193460	MSRB3	methionine sulfoxide reductase B3	
A_33_P3306973				
A_33_P3235690	NM_001081550	THOC2	THO complex 2	ENST00000355725
A_21_P0006812		XLOC_008342		ENST00000438753
A_21_P0004992		XLOC_005586		
A_21_P0000576	NR_029376	LOC100294362	uncharacterized LOC100294362	
A_21_P0005597		XLOC_006364		
A_21_P0014082	XR_108376	LOC100507013		ENST00000436991
A_24_P187056				ENST00000369381
A_33_P3858476	NR_033873	FLJ30838	uncharacterized LOC400955	ENST00000452840
A_33_P3260373	NM_001204890	ISY1-RAB43	ISY1-RAB43 readthrough	
A_33_P3282898		TLN1	talin 1	ENST00000378192
A_23_P122001	NM_002439	MSH3	mutS homolog 3 (E. coli)	ENST00000265081
A_23_P117437	NM_022789	IL25	interleukin 25	ENST00000329715
A_21_P0002784		XLOC_002880		ENST00000498457
A_24_P303420	NR_026938	LOC221442	adenylate cyclase 10 (soluble) pseudogene	
A_23_P122508	NM_080870	DPCR1	diffuse panbronchiolitis critical region 1	ENST00000414703
ERCC-00013_180				
A_19_P00322002	NR_015431	FLJ43663	uncharacterized LOC378805	
A_19_P00320028	NR_039981	LOC100216546	uncharacterized LOC100216546	
A_23_P114883	NM_002023	FMOD	fibromodulin	ENST00000354955
A_24_P42066	NR_003267	GGT3P	gamma-glutamyltransferase 3 pseudogene	ENST00000412448
A_21_P0007322		XLOC_009383		
A_33_P3321007	NR_015374	LOC401463	uncharacterized LOC401463	
A_33_P3857091	NR_033894	LOC286114	uncharacterized LOC286114	ENST00000522604
A_33_P3404480	NM_033066	MPP4	membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4)	ENST00000409818
A_33_P3357431	XR_112173			ENST00000317652
A_21_P0009595	XR_108274	LOC645321	uncharacterized LOC645321	
A_23_P110288	NM_024751	GSTCD	glutathione S-transferase, C-terminal domain containing	ENST00000484843
A_23_P114282	NM_014060	MCTS1	malignant T cell amplified sequence 1	ENST00000371315
A_21_P0001847		XLOC_001398		
A_33_P3325018	NM_015701	ERLEC1	endoplasmic reticulum lectin 1	ENST00000185150
A_21_P0004300		XLOC_004562		
A_23_P88740	NM_018455	CENPN	centromere protein N	ENST00000299572
A_23_P123308	NM_031271	TEX15	testis expressed 15	ENST00000256246
A_21_P0003254		XLOC_002878		
A_33_P3412975	NM_175875	SIX5	SIX homeobox 5	ENST00000317578
A_33_P3745164	NM_001167674	CADM2	cell adhesion molecule 2	ENST00000383699
A_23_P102937	NM_006936	SUMO3	SMT3 suppressor of mif two 3 homolog 3 (S. cerevisiae)	ENST00000332859
A_24_P41021	NM_203301	FBXO33	F-box protein 33	ENST00000298097
A_21_P0007760		XLOC_010200		
A_21_P0002274		XLOC_001637		
A_23_P11652	NM_003368	USP1	ubiquitin specific peptidase 1	ENST00000371146
A_23_P258340	NM_021130	PPIA	peptidylprolyl isomerase A (cyclophilin A)	
A_21_P0014949	NM_006310	NPEPPS	aminopeptidase puromycin sensitive	ENST00000525037
A_33_P3209386	NM_032731	TXNDC17	thioredoxin domain containing 17	ENST00000250101
A_33_P3312601	NM_001013630	AADACL4	arylacetamide deacetylase-like 4	ENST00000376221
A_23_P162702	NM_001109662	C12orf51	chromosome 12 open reading frame 51	ENST00000377560
A_23_P434518	NM_001040168	LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	ENST00000359574
A_21_P0003091		XLOC_002996		
A_23_P61042				ENST00000390539
A_21_P0005777		XLOC_006949		
A_21_P0003356		XLOC_003521		ENST00000510602
A_23_P119907	NM_018089	ANKZF1	ankyrin repeat and zinc finger domain containing 1	ENST00000483188
A_21_P0010960		XLOC_l2_002204		
A_33_P3284404	NM_145731	SYNGR1	synaptogyrin 1	ENST00000415332
ERCC-00156_158				
A_21_P0008122		XLOC_010503		ENST00000440860
A_23_P110624	NM_001332	CTNND2	catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)	ENST00000538638
ERCC-00147_344				
A_21_P0001786		XLOC_002049		ENST00000413792
A_32_P215938	NM_001145638	GPSM1	G-protein signaling modulator 1	ENST00000291775
A_33_P3325808				
A_21_P0002823		XLOC_002968		ENST00000438488
A_23_P101960	NM_006887	ZFP36L2	zinc finger protein 36, C3H type-like 2	ENST00000282388
A_19_P00318261	NR_003016	SNORA26		
A_21_P0011410		XLOC_l2_004944		
A_23_P140602	NM_001033088	NGRN	neugrin, neurite outgrowth associated	ENST00000379095
A_24_P252575	NM_012197	RABGAP1	RAB GTPase activating protein 1	ENST00000373647
A_23_P104025	NM_052965	TSEN15	tRNA splicing endonuclease 15 homolog (S. cerevisiae)	ENST00000462677
A_23_P63459	NM_001012985	C1orf31	chromosome 1 open reading frame 31	ENST00000366613
A_23_P104972	NM_023945	MS4A5	membrane-spanning 4-domains, subfamily A, member 5	ENST00000300190
A_33_P3215028	NM_152734	C6orf89	chromosome 6 open reading frame 89	ENST00000359359
A_33_P3228722		TBCD	tubulin folding cofactor D	ENST00000397466
ERCC-00034_158				
A_23_P146146	NM_152565	ATP6V0D2	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d2	ENST00000285393
A_24_P71973	NM_002253	KDR	kinase insert domain receptor (a type III receptor tyrosine kinase)	ENST00000263923
A_33_P3340085	NM_178136	POLDIP3	polymerase (DNA-directed), delta interacting protein 3	ENST00000339677
A_23_P215175	NM_005692	ABCF2	ATP-binding cassette, sub-family F (GCN20), member 2	ENST00000222388
A_23_P103588	NM_005518	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2 (mitochondrial)	ENST00000544913
A_21_P0013214		XLOC_l2_013442		
A_19_P00806765	NR_034096	FONG	uncharacterized LOC348751	ENST00000416668
A_21_P0004505		XLOC_004405		
A_23_P11032	NM_032591	SLC9A7	solute carrier family 9 (sodium/hydrogen exchanger), member 7	ENST00000491894
A_33_P3255314	NR_033985	FLJ26245	uncharacterized LOC400533	
A_21_P0005037	XR_108612	LOC100506867	uncharacterized LOC100506867	
A_23_P252748	NM_007152	ZNF195	zinc finger protein 195	
A_21_P0005215		XLOC_005991		ENST00000442176
A_32_P57810	NM_052916	RNF157	ring finger protein 157	ENST00000319945
A_21_P0002212	XR_109987	LOC100506235	uncharacterized LOC100506235	
A_23_P214678	NM_015921	CUTA	cutA divalent cation tolerance homolog (E. coli)	
A_24_P11575	NM_016441	CRIM1	cysteine rich transmembrane BMP regulator 1 (chordin-like)	ENST00000280527
A_33_P3368034				
A_21_P0008281		XLOC_011080		ENST00000554043
A_33_P3240972	XM_003119593	LOC100134285	putative golgin subfamily A member 6-like protein 6-like	
A_21_P0004440		XLOC_004988		
A_23_P106463	NM_002537	OAZ2	ornithine decarboxylase antizyme 2	ENST00000403937
A_24_P153043	NR_000029	RPL23AP7	ribosomal protein L23a pseudogene 7	
(+)E1A_r60_a22				
A_23_P36187	NM_138567	SYT8	synaptotagmin VIII	ENST00000535046
A_21_P0009102		MMP2	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	
A_24_P149395	NM_015610	WIPI2	WD repeat domain, phosphoinositide interacting 2	
A_21_P0012208		XLOC_l2_009273		
A_21_P0013981	XM_003119158	CHRM3	cholinergic receptor, muscarinic 3	ENST00000481779
A_21_P0010346		XLOC_014183		ENST00000454253
A_23_P104563	NM_001031847	CPT1A	carnitine palmitoyltransferase 1A (liver)	ENST00000539743
A_19_P00801041		GNASAS		
A_23_P82762	NM_001042416	ZNF596	zinc finger protein 596	ENST00000398612
A_24_P336577	NM_019099	C1orf183	chromosome 1 open reading frame 183	ENST00000444059
A_33_P3368144				
A_33_P3253583	NM_001005196	OR8B4	olfactory receptor, family 8, subfamily B, member 4	ENST00000356130
A_33_P3317282	NM_138459	NUS1	nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae)	ENST00000368494
A_33_P3341269				
A_33_P3500167	NM_001135	ACAN	aggrecan	ENST00000268134
A_21_P0013408		XLOC_l2_013648		ENST00000493400
A_33_P3384108	NM_194255	SLC19A1	solute carrier family 19 (folate transporter), member 1	
A_33_P3340264		OTOG	otogelin	ENST00000399397
A_21_P0013519		XLOC_l2_014565		
A_23_P36531	NM_004616	TSPAN8	tetraspanin 8	ENST00000546561
A_21_P0007963		XLOC_010491		ENST00000455487
A_33_P3236030		ARHGAP24	Rho GTPase activating protein 24	ENST00000509709
A_21_P0009956		XLOC_013528		ENST00000428529
A_21_P0001650		XLOC_001281		
A_21_P0008718		XLOC_011421		
A_33_P3273459		SPATA21	spermatogenesis associated 21	ENST00000466212
A_24_P383850	NM_003760	EIF4G3	eukaryotic translation initiation factor 4 gamma, 3	
A_23_P354791	NM_182964	NAV2	neuron navigator 2	
A_23_P59153	NM_021177	LSM2	LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae)	ENST00000375661
A_23_P103110	NM_012323	MAFF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	
A_23_P344853	NM_015131	WDR43	WD repeat domain 43	ENST00000407426
A_24_P134235	NM_003685	KHSRP	KH-type splicing regulatory protein	ENST00000201886
A_33_P3218772	NM_080599	UPF2	UPF2 regulator of nonsense transcripts homolog (yeast)	ENST00000359268
A_23_P53646	NM_139207	NAP1L1	nucleosome assembly protein 1-like 1	ENST00000261182
A_23_P431505		XKR6	XK, Kell blood group complex subunit-related family, member 6	ENST00000530248
A_21_P0006221		XLOC_007543		
A_21_P0007314		XLOC_009365		
A_21_P0009162	XR_109374	XLOC_012139		ENST00000443508
A_21_P0010290		XLOC_014105		
A_23_P319783	NM_206996	SPAG17	sperm associated antigen 17	ENST00000469128
A_23_P103442	NM_022756	MEAF6	MYST/Esa1-associated factor 6	ENST00000487788
A_21_P0011627		XLOC_l2_005871		
A_21_P0009225		XLOC_012116		
A_21_P0012192		XLOC_l2_009172		
A_21_P0008647	NR_026979	LOC145837	uncharacterized LOC145837	
A_33_P3230976	NM_002726	PREP	prolyl endopeptidase	ENST00000535457
A_23_P106675	NM_002661	PLCG2	phospholipase C, gamma 2 (phosphatidylinositol-specific)	ENST00000359376
A_33_P3259954				
A_19_P00321284	NR_038988	LOC100287765		
A_33_P3233620				ENST00000356822
A_23_P72096	NM_000575	IL1A	interleukin 1, alpha	ENST00000263339
A_32_P231086	NM_198181	GOLGA6L9	golgin A6 family-like 9	ENST00000439287
A_23_P7535	NM_022304	HRH2	histamine receptor H2	ENST00000231683
A_32_P60606				ENST00000391437
A_23_P31073	NM_005375	MYB	v-myb myeloblastosis viral oncogene homolog (avian)	
A_32_P85591	NR_003238	H2BFXP	H2B histone family, member X, pseudogene	
A_21_P0012632		XLOC_l2_010936		
A_33_P3318002	NM_031500	PCDHA4	protocadherin alpha 4	ENST00000356878
A_23_P345710	NM_152531	XXYLT1	xyloside xylosyltransferase 1	ENST00000437101
A_33_P3331085	NM_021982	SEC24A	SEC24 family, member A (S. cerevisiae)	ENST00000398844
A_21_P0000144	NM_001199233	LOC100505478	uncharacterized protein LOC100505478	ENST00000436752
A_23_P110961	NM_016098	BRP44L	brain protein 44-like	ENST00000341756
A_24_P251734	NM_020116	FSTL5	follistatin-like 5	ENST00000379164
A_23_P166122	NM_006466	POLR3F	polymerase (RNA) III (DNA directed) polypeptide F, 39 kDa	ENST00000377603
A_24_P817863	NM_032504	UNC80	unc-80 homolog (C. elegans)	ENST00000439458
A_23_P113803	NM_007044	KATNA1	katanin p60 (ATPase containing) subunit A 1	ENST00000367411
A_33_P3237364	XR_132715	LOC729032	ribosomal protein L36 pseudogene	
A_24_P401090				
A_23_P123727	NM_024617	ZCCHC6	zinc finger, CCHC domain containing 6	ENST00000427388
A_23_P213518	NM_001042440	CAST	calpastatin	ENST00000395813
A_23_P112113	NM_014846	KIAA0196	KIAA0196	ENST00000318410
A_33_P3292402		LRRIQ3	leucine-rich repeats and IQ motif containing 3	ENST00000468759
A_33_P3291776	NM_018946	NANS	N-acetylneuraminic acid synthase	ENST00000461452
A_33_P3337569	NM_214711	C4orf40	chromosome 4 open reading frame 40	ENST00000509633
A_33_P3222744	NM_015852	ZNF117	zinc finger protein 117	
A_24_P3415	NM_181876	PPP2R2C	protein phosphatase 2, regulatory subunit B, gamma	
A_33_P3240234				
A_23_P362228	NR_033690	C1orf213	chromosome 1 open reading frame 213	ENST00000335648
A_23_P108376	NM_022065	THADA	thyroid adenoma associated	ENST00000467668
A_24_P782308	NM_001144967	NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like	
A_21_P0003880		XLOC_003840		
A_33_P3846177	NM_001478	B4GALNT1	beta-1,4-N-acetyl-galactosaminyl transferase 1	ENST00000552468
A_33_P3271634		HLA-DPB1	major histocompatibility complex, class II, DP beta 1	ENST00000466949
A_23_P59388	NM_001723	DST	dystonin	ENST00000370765
A_23_P109774	NM_014415	ZBTB11	zinc finger and BTB domain containing 11	ENST00000312938
A_21_P0012394		XLOC_l2_009886		
A_33_P3238290	NM_080829	FAM65C	family with sequence similarity 65, member C	ENST00000045083
A_23_P99891	NM_022566	MESDC1	mesoderm development candidate 1	ENST00000267984
A_21_P0008067		XLOC_010399		
A_23_P430670	NM_024533	CHST5	carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5	ENST00000336257
A_33_P3411313				
A_33_P3658861		SNORA26	small nucleolar RNA, H/ACA box 26	
A_23_P41948	NM_017785	CCDC99	coiled-coil domain containing 99	ENST00000274631
A_23_P27724	NM_003009	SEPW1	selenoprotein W, 1	ENST00000509570
A_23_P10785	NM_145206	VTI1A	vesicle transport through interaction with t-SNAREs homolog 1A (yeast)	ENST00000393077
A_23_P107587	NM_000271	NPC1	Niemann-Pick disease, type C1	ENST00000412552
3xSLv1				
A_23_P160849	NM_004106	FCER1G	Fc fragment of IgE, high affinity I, receptor for; gamma polypeptide	ENST00000289902
A_33_P3265619				
A_24_P823684	NM_007355	HSP90AB1	heat shock protein 90kDa alpha (cytosolic), class B member 1	ENST00000371556
A_24_P98006	NM_001040179	MCHR2	melanin-concentrating hormone receptor 2	ENST00000281806
A_21_P0004081		XLOC_004674		ENST00000503218
A_33_P3349404	NM_031413	CECR2	cat eye syndrome chromosome region, candidate 2	ENST00000262608
A_23_P43079	NM_017864	INTS8	integrator complex subunit 8	ENST00000521155
A_23_P217659	NM_001018055	BRCC3	BRCA1/BRCA2-containing complex, subunit 3	ENST00000453705
A_33_P3303444	NM_001133	AFM	afamin	ENST00000226355
A_33_P3404749	NM_001103184	FMN1	formin 1	ENST00000334528
A_33_P3704738	NR_026803	FAM74A1	family with sequence similarity 74, member A1	
A_23_P126869	NM_016233	PADI3	peptidyl arginine deiminase, type III	ENST00000375460
A_23_P137543	NM_152493	ZNF362	zinc finger protein 362	ENST00000539719
A_23_P374322	NM_153218	LACC1	laccase (multicopper oxidoreductase) domain containing 1	ENST00000325686
A_21_P0001876		XLOC_001517		ENST00000415138
A_23_P113161	NM_030806	C1orf21	chromosome 1 open reading frame 21	ENST00000235307
A_21_P0012360	NR_044991	LINC00229	long intergenic non-protein coding RNA 229	ENST00000443783
A_33_P3270599	NM_213674	TPM2	tropomyosin 2 (beta)	ENST00000329305
A_33_P3330911	NM_003657	BCAS1	breast carcinoma amplified sequence 1	ENST00000395961
A_24_P493287				
A_21_P0011326		XLOC_l2_004706		
A_21_P0000105	NM_001190478	MTRNR2L5	MT-RNR2-like 5	ENST00000512524
A_23_P40952	NM_002880	RAF1	v-raf-1 murine leukemia viral oncogene homolog 1	ENST00000442415
A_21_P0011975		XLOC_l2_008321		ENST00000428651
A_19_P00808883		Q7Z2X8		
A_23_P45166	NM_007198	PROSC	proline synthetase co-transcribed homolog (bacterial)	ENST00000328195
A_21_P0013807		XLOC_l2_015673		ENST00000456559
A_33_P3224250	NM_001048210	CLCC1	chloride channel CLIC-like 1	ENST00000369971
A_21_P0008920		XLOC_011686		
A_21_P0003212		XLOC_003406		
A_23_P334608	NM_000181	GUSB	glucuronidase, beta	ENST00000345660
A_23_P53137	NM_000559	HBG1	hemoglobin, gamma A	ENST00000330597
A_24_P166094	NM_001025595	ARFIP1	ADP-ribosylation factor interacting protein 1	ENST00000353617
ERCC-00053_71				
A_21_P0013203		XLOC_l2_013427		
A_23_P502464	NM_000625	NOS2	nitric oxide synthase 2, inducible	ENST00000313735
A_21_P0003248		XLOC_002773		
A_21_P0009821	XR_132670	LOC100652730	uncharacterized LOC100652730	
A_33_P3381022		ICMT	isoprenylcysteine carboxyl methyltransferase	ENST00000362035
A_21_P0004336		XLOC_004636		
A_21_P0006572		XLOC_008061		
A_21_P0008126		XLOC_010517		
A_21_P0004410		XLOC_004875		
A_23_P593	NM_021639	GPBP1L1	GC-rich promoter binding protein 1-like 1	ENST00000355105
A_33_P3272189	NM_032718	MFSD9	major facilitator superfamily domain containing 9	ENST00000438943
A_23_P112652	NM_015442	CNOT10	CCR4-NOT transcription complex, subunit 10	ENST00000331889
A_21_P0000477	NR_003709	SNORA11B	small nucleolar RNA, H/ACA box 11B (retrotransposed)	
A_23_P13907	NM_000618	IGF1	insulin-like growth factor 1 (somatomedin C)	ENST00000481539
A_21_P0001170		XLOC_000982		ENST00000449439
A_33_P3388070				
A_33_P3364089	NM_019844	SLCO1B3	solute carrier organic anion transporter family, member 1B3	ENST00000553473
A_21_P0005032		XLOC_005763		
A_21_P0007022		XLOC_008963		
A_23_P111604	NM_152745	NXPH1	neurexophilin 1	ENST00000405863
A_33_P3226080	NM_207103	C17orf87	chromosome 17 open reading frame 87	ENST00000399600
A_23_P105392	NM_006431	CCT2	chaperonin containing TCP1, subunit 2 (beta)	ENST00000550010
A_23_P126735	NM_000572	IL10	interleukin 10	ENST00000423557
A_33_P3247589				
A_24_P930926	NM_004874	BAG4	BCL2-associated athanogene 4	ENST00000287322
ERCC-00081_60				
A_33_P3338166	NM_030952	NUAK2	NUAK family, SNF1-like kinase, 2	ENST00000367157
A_23_P118392	NM_016084	RASD1	RAS, dexamethasone-induced 1	ENST00000225688
A_23_P77401	NM_018340	CPPED1	calcineurin-like phosphoesterase domain containing 1	ENST00000433677
A_19_P00319765		XLOC_l2_009762		ENST00000469178
A_21_P0002728		XLOC_002593		ENST00000453361
A_32_P12639	NM_002816	PSMD12	proteasome (prosome, macropain) 26S subunit, non-ATPase, 12	
A_33_P3255001	NR_026834	LOC152024	uncharacterized LOC152024	ENST00000432505
ERCC-00062_278				
A_21_P0003284		XLOC_003130		
A_21_P0005042		XLOC_005784		
A_24_P268160	NM_178454	DRAM2	DNA-damage regulated autophagy modulator 2	ENST00000477769
ETG10_13482				
A_33_P3230588				
A_21_P0008871	NR_024492	FLJ42627	uncharacterized LOC645644	
A_21_P0012967		XLOC_l2_011891		ENST00000412295
A_21_P0004981		XLOC_005567		
A_23_P12363	NM_005012	ROR1	receptor tyrosine kinase-like orphan receptor 1	ENST00000545203
A_23_P22761	NM_006883	SHOX	short stature homeobox	ENST00000334060
A_21_P0010700		XLOC_l2_000159		ENST00000432922
A_23_P106056	NM_001344	DAD1	defender against cell death 1	ENST00000535847
A_33_P3519223				
A_23_P111487	NM_001128853	SRRT	serrate RNA effector molecule homolog (Arabidopsis)	
ERCC-00083_214				
A_33_P3212188	NM_002333	LRP3	low density lipoprotein receptor-related protein 3	
A_23_P11081	NM_003886	AKAP4	A kinase (PRKA) anchor protein 4	ENST00000376064
A_33_P3367106	NR_003242	PFN1P2	profilin 1 pseudogene 2	
A_21_P0010868		XLOC_l2_001945		
A_33_P3378972	NM_080872	UNC5D	unc-5 homolog D (C. elegans)	ENST00000404895
A_32_P55840				ENST00000377186
A_33_P3366575	NM_018698	NXT2	nuclear transport factor 2-like export factor 2	ENST00000372103
A_23_P95930	NM_003483	HMGA2	high mobility group AT-hook 2	ENST00000403681
A_21_P0013341		XLOC_l2_013931		ENST00000464543
A_21_P0003418		XLOC_003736		ENST00000507949
A_33_P3726064	NR_033879	LOC348761	uncharacterized LOC348761	
A_33_P3239102				
A_33_P3287690		CNOT2	CCR4-NOT transcription complex, subunit 2	ENST00000551483
A_21_P0010355		XLOC_014215		ENST00000452505
