ID	REFSEQ	GENE_SYMBOL	GENE_NAME	ENSEMBL_ID	ENSEMBL_GENE_ID	ENTREZ_ID
A_23_P103837	NM_001127320	UBAP2L	ubiquitin associated protein 2-like	ENST00000475373	ENSG00000143569	9898
A_33_P3402035	NM_004295	TRAF4	TNF receptor-associated factor 4	ENST00000262395	ENSG00000076604	9618
A_21_P0013668	NM_001166137	FAM75C2	family with sequence similarity 75, member C2	NA	NA	NA
A_23_P61637	NM_002108	HAL	histidine ammonia-lyase	ENST00000546999	ENSG00000084110	3034
A_23_P11543	NM_000147	FUCA1	fucosidase, alpha-L- 1, tissue	ENST00000374479	ENSG00000179163	2517
A_23_P103765	NM_002001	FCER1A	Fc fragment of IgE, high affinity I, receptor for; alpha polypeptide	ENST00000368115	ENSG00000179639	2205
A_21_P0002012	NA	XLOC_001975	NA	ENST00000418358	ENSG00000236008	NA
A_33_P3219429	NM_005871	SMNDC1	survival motor neuron domain containing 1	ENST00000369592	ENSG00000119953	10285
A_21_P0014120	XR_108496	LOC100507291	uncharacterized LOC100507291	NA	NA	NA
A_33_P3372397	NA	NA	NA	ENST00000397190	NA	NA
A_24_P120109	NM_198963	DHX57	DEAH (Asp-Glu-Ala-Asp/His) box polypeptide 57	ENST00000355320	NA	NA
A_21_P0013733	NM_174937	TCERG1L	transcription elongation regulator 1-like	ENST00000483040	ENSG00000176769	256536
A_21_P0008159	NA	XLOC_010597	NA	NA	NA	NA
A_23_P118888	NM_000430	PAFAH1B1	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)	ENST00000397193	ENSG00000007168	5048
A_19_P00803093	NA	Q3AHP4	NA	NA	NA	NA
A_33_P3350056	NM_005952	MT1X	metallothionein 1X	ENST00000394485	ENSG00000187193	4501
A_32_P202703	NM_001242480	LOC389831	uncharacterized LOC389831	ENST00000400890	NA	NA
A_24_P787889	NM_001242313	TMEM191B	transmembrane protein 191B	NA	NA	NA
A_33_P3390097	NA	NA	NA	NA	NA	NA
A_24_P238257	NM_001145080	C17orf104	chromosome 17 open reading frame 104	ENST00000359945	NA	NA
A_33_P3227225	NA	NA	NA	NA	NA	NA
A_21_P0014626	NM_007282	RNF13	ring finger protein 13	ENST00000392894	ENSG00000082996	11342
A_23_P203658	NM_007166	PICALM	phosphatidylinositol binding clathrin assembly protein	NA	NA	NA
A_33_P3354678	NR_002777	TRIM78P	tripartite motif containing 78, pseudogene	NA	NA	NA
A_23_P102060	NM_006751	SSFA2	sperm specific antigen 2	ENST00000491720	ENSG00000138434	6744
A_23_P206140	NM_018602	DNAJA4	DnaJ (Hsp40) homolog, subfamily A, member 4	ENST00000394852	ENSG00000140403	55466
A_23_P14389	NM_014977	ACIN1	apoptotic chromatin condensation inducer 1	NA	NA	NA
A_23_P106016	NM_002742	PRKD1	protein kinase D1	ENST00000331968	ENSG00000184304	5587
A_33_P3323435	NM_033141	MAP3K9	mitogen-activated protein kinase kinase kinase 9	ENST00000005198	NA	NA
A_21_P0011375	NM_003104	SORD	sorbitol dehydrogenase	ENST00000267814	ENSG00000140263	6652
A_21_P0001890	NA	XLOC_001602	NA	NA	NA	NA
A_33_P3228014	NM_206998	SCGB1D4	secretoglobin, family 1D, member 4	ENST00000358585	ENSG00000197745	404552
A_21_P0014742	XR_132472	LOC100287813	uncharacterized LOC100287813	NA	NA	NA
A_33_P3241482	NM_012279	ZNF346	zinc finger protein 346	ENST00000261948	NA	NA
A_21_P0001555	NA	XLOC_000934	NA	NA	NA	NA
A_33_P3349661	NM_203487	PCDH9	protocadherin 9	ENST00000328454	NA	NA
A_21_P0010319	NA	XLOC_014042	NA	NA	NA	NA
A_23_P145541	NM_014845	FIG4	FIG4 homolog, SAC1 lipid phosphatase domain containing (S. cerevisiae)	ENST00000419951	ENSG00000112367	9896
A_23_P111865	NM_145914	ZSCAN21	zinc finger and SCAN domain containing 21	ENST00000292450	ENSG00000166529	7589
A_23_P151294	NM_000619	IFNG	interferon, gamma	ENST00000229135	ENSG00000111537	3458
A_23_P144096	NM_145071	CISH	cytokine inducible SH2-containing protein	ENST00000348721	ENSG00000114737	1154
A_33_P3299510	NM_001008271	SCXA	scleraxis homolog A (mouse)	ENST00000340210	NA	NA
A_23_P76705	NM_006322	TUBGCP3	tubulin, gamma complex associated protein 3	ENST00000261965	ENSG00000126216	10426
A_23_P63896	NM_000043	FAS	Fas (TNF receptor superfamily, member 6)	NA	NA	NA
A_21_P0005541	NA	XLOC_006644	NA	NA	NA	NA
A_24_P355944	NM_004093	EFNB2	ephrin-B2	ENST00000245323	NA	NA
A_23_P101374	NM_030622	CYP2S1	cytochrome P450, family 2, subfamily S, polypeptide 1	ENST00000310054	ENSG00000167600	29785
A_32_P199252	NM_001017963	HSP90AA1	heat shock protein 90kDa alpha (cytosolic), class A member 1	ENST00000557089	ENSG00000080824	3320
A_21_P0001204	NA	XLOC_001128	NA	ENST00000432976	ENSG00000237283	NA
A_23_P203191	NM_000039	APOA1	apolipoprotein A-I	ENST00000236850	ENSG00000118137	335
A_19_P00811812	NM_201274	MPRIP	myosin phosphatase Rho interacting protein	NA	NA	NA
A_24_P54390	NM_170672	RASGRP3	RAS guanyl releasing protein 3 (calcium and DAG-regulated)	ENST00000407811	ENSG00000152689	25780
A_33_P3311205	NM_001031698	PRPF40B	PRP40 pre-mRNA processing factor 40 homolog B (S. cerevisiae)	ENST00000261897	ENSG00000110844	25766
A_32_P89827	NR_002815	TPTE2P6	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 pseudogene 6	ENST00000453498	ENSG00000243008	NA
A_23_P44264	NM_004098	EMX2	empty spiracles homeobox 2	ENST00000442245	ENSG00000170370	2018
A_33_P3424489	NA	NA	NA	ENST00000390305	ENSG00000211659	NA
A_21_P0004959	NA	XLOC_005512	NA	NA	NA	NA
A_33_P3245927	NM_024623	OGFOD2	2-oxoglutarate and iron-dependent oxygenase domain containing 2	ENST00000406539	ENSG00000111325	79676
A_23_P101521	NM_152358	IZUMO2	IZUMO family member 2	ENST00000486050	ENSG00000161652	126123
A_21_P0004017	NA	XLOC_004428	NA	ENST00000507323	NA	NA
A_33_P3379526	NA	NA	NA	NA	NA	NA
A_23_P98183	NM_005343	HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	ENST00000311189	ENSG00000174775	3265
A_21_P0012132	NA	XLOC_l2_008731	NA	NA	NA	NA
A_21_P0007347	NA	XLOC_009428	NA	NA	NA	NA
A_33_P3265679	XR_112616	LOC389199	uncharacterized LOC389199	ENST00000429019	ENSG00000228919	389199
ERCC-00096_179	NA	NA	NA	NA	NA	NA
A_21_P0000880	NR_040012	SPAG5-AS1	SPAG5 antisense RNA 1 (non-protein coding)	ENST00000414744	ENSG00000227543	NA
A_33_P3278313	NM_001193460	MSRB3	methionine sulfoxide reductase B3	NA	NA	NA
A_33_P3306973	NA	NA	NA	NA	NA	NA
A_33_P3235690	NM_001081550	THOC2	THO complex 2	ENST00000355725	ENSG00000125676	57187
A_21_P0006812	NA	XLOC_008342	NA	ENST00000438753	ENSG00000235281	NA
A_21_P0004992	NA	XLOC_005586	NA	NA	NA	NA
A_21_P0000576	NR_029376	LOC100294362	uncharacterized LOC100294362	NA	NA	NA
A_21_P0005597	NA	XLOC_006364	NA	NA	NA	NA
A_21_P0014082	XR_108376	LOC100507013	NA	ENST00000436991	ENSG00000233478	NA
A_24_P187056	NA	NA	NA	ENST00000369381	NA	NA
A_33_P3858476	NR_033873	FLJ30838	uncharacterized LOC400955	ENST00000452840	ENSG00000233723	NA
A_33_P3260373	NM_001204890	ISY1-RAB43	ISY1-RAB43 readthrough	NA	NA	NA
A_33_P3282898	NA	TLN1	talin 1	ENST00000378192	ENSG00000137076	7094
A_23_P122001	NM_002439	MSH3	mutS homolog 3 (E. coli)	ENST00000265081	ENSG00000113318	4437
A_23_P117437	NM_022789	IL25	interleukin 25	ENST00000329715	ENSG00000166090	64806
A_21_P0002784	NA	XLOC_002880	NA	ENST00000498457	ENSG00000241220	NA
A_24_P303420	NR_026938	LOC221442	adenylate cyclase 10 (soluble) pseudogene	NA	NA	NA
A_23_P122508	NM_080870	DPCR1	diffuse panbronchiolitis critical region 1	ENST00000414703	ENSG00000229284	135656
ERCC-00013_180	NA	NA	NA	NA	NA	NA
A_19_P00322002	NR_015431	FLJ43663	uncharacterized LOC378805	NA	NA	NA
A_19_P00320028	NR_039981	LOC100216546	uncharacterized LOC100216546	NA	NA	NA
A_23_P114883	NM_002023	FMOD	fibromodulin	ENST00000354955	ENSG00000122176	2331
A_24_P42066	NR_003267	GGT3P	gamma-glutamyltransferase 3 pseudogene	ENST00000412448	ENSG00000197421	NA
A_21_P0007322	NA	XLOC_009383	NA	NA	NA	NA
A_33_P3321007	NR_015374	LOC401463	uncharacterized LOC401463	NA	NA	NA
A_33_P3857091	NR_033894	LOC286114	uncharacterized LOC286114	ENST00000522604	ENSG00000253199	NA
A_33_P3404480	NM_033066	MPP4	membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4)	ENST00000409818	ENSG00000082126	58538
A_33_P3357431	XR_112173	NA	NA	ENST00000317652	ENSG00000179253	NA
A_21_P0009595	XR_108274	LOC645321	uncharacterized LOC645321	NA	NA	NA
A_23_P110288	NM_024751	GSTCD	glutathione S-transferase, C-terminal domain containing	ENST00000484843	ENSG00000138780	79807
A_23_P114282	NM_014060	MCTS1	malignant T cell amplified sequence 1	ENST00000371315	ENSG00000232119	28985
A_21_P0001847	NA	XLOC_001398	NA	NA	NA	NA
A_33_P3325018	NM_015701	ERLEC1	endoplasmic reticulum lectin 1	ENST00000185150	ENSG00000068912	27248
A_21_P0004300	NA	XLOC_004562	NA	NA	NA	NA
A_23_P88740	NM_018455	CENPN	centromere protein N	ENST00000299572	ENSG00000166451	55839
A_23_P123308	NM_031271	TEX15	testis expressed 15	ENST00000256246	ENSG00000133863	56154
A_21_P0003254	NA	XLOC_002878	NA	NA	NA	NA
A_33_P3412975	NM_175875	SIX5	SIX homeobox 5	ENST00000317578	ENSG00000177045	147912
A_33_P3745164	NM_001167674	CADM2	cell adhesion molecule 2	ENST00000383699	ENSG00000175161	253559
A_23_P102937	NM_006936	SUMO3	SMT3 suppressor of mif two 3 homolog 3 (S. cerevisiae)	ENST00000332859	ENSG00000184900	6612
A_24_P41021	NM_203301	FBXO33	F-box protein 33	ENST00000298097	ENSG00000165355	254170
A_21_P0007760	NA	XLOC_010200	NA	NA	NA	NA
A_21_P0002274	NA	XLOC_001637	NA	NA	NA	NA
A_23_P11652	NM_003368	USP1	ubiquitin specific peptidase 1	ENST00000371146	ENSG00000162607	7398
A_23_P258340	NM_021130	PPIA	peptidylprolyl isomerase A (cyclophilin A)	NA	NA	NA
A_21_P0014949	NM_006310	NPEPPS	aminopeptidase puromycin sensitive	ENST00000525037	ENSG00000141279	9520
A_33_P3209386	NM_032731	TXNDC17	thioredoxin domain containing 17	ENST00000250101	ENSG00000129235	84817
A_33_P3312601	NM_001013630	AADACL4	arylacetamide deacetylase-like 4	ENST00000376221	ENSG00000204518	343066
A_23_P162702	NM_001109662	C12orf51	chromosome 12 open reading frame 51	ENST00000377560	ENSG00000173064	283450
A_23_P434518	NM_001040168	LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	ENST00000359574	ENSG00000106003	3955
A_21_P0003091	NA	XLOC_002996	NA	NA	NA	NA
A_23_P61042	NA	NA	NA	ENST00000390539	ENSG00000211890	NA
A_21_P0005777	NA	XLOC_006949	NA	NA	NA	NA
A_21_P0003356	NA	XLOC_003521	NA	ENST00000510602	ENSG00000249122	NA
A_23_P119907	NM_018089	ANKZF1	ankyrin repeat and zinc finger domain containing 1	ENST00000483188	ENSG00000163516	55139
A_21_P0010960	NA	XLOC_l2_002204	NA	NA	NA	NA
A_33_P3284404	NM_145731	SYNGR1	synaptogyrin 1	ENST00000415332	ENSG00000100321	9145
ERCC-00156_158	NA	NA	NA	NA	NA	NA
A_21_P0008122	NA	XLOC_010503	NA	ENST00000440860	ENSG00000226903	NA
A_23_P110624	NM_001332	CTNND2	catenin (cadherin-associated protein), delta 2 (neural plakophilin-related arm-repeat protein)	ENST00000538638	NA	NA
ERCC-00147_344	NA	NA	NA	NA	NA	NA
A_21_P0001786	NA	XLOC_002049	NA	ENST00000413792	ENSG00000237803	NA
A_32_P215938	NM_001145638	GPSM1	G-protein signaling modulator 1	ENST00000291775	ENSG00000160360	26086
A_33_P3325808	NA	NA	NA	NA	NA	NA
A_21_P0002823	NA	XLOC_002968	NA	ENST00000438488	ENSG00000223812	NA
A_23_P101960	NM_006887	ZFP36L2	zinc finger protein 36, C3H type-like 2	ENST00000282388	ENSG00000152518	678
A_19_P00318261	NR_003016	SNORA26	NA	NA	NA	NA
A_21_P0011410	NA	XLOC_l2_004944	NA	NA	NA	NA
A_23_P140602	NM_001033088	NGRN	neugrin, neurite outgrowth associated	ENST00000379095	ENSG00000182768	51335
A_24_P252575	NM_012197	RABGAP1	RAB GTPase activating protein 1	ENST00000373647	ENSG00000011454	2844
A_23_P104025	NM_052965	TSEN15	tRNA splicing endonuclease 15 homolog (S. cerevisiae)	ENST00000462677	ENSG00000198860	116461
A_23_P63459	NM_001012985	C1orf31	chromosome 1 open reading frame 31	ENST00000366613	ENSG00000168275	388753
A_23_P104972	NM_023945	MS4A5	membrane-spanning 4-domains, subfamily A, member 5	ENST00000300190	ENSG00000166930	64232
A_33_P3215028	NM_152734	C6orf89	chromosome 6 open reading frame 89	ENST00000359359	ENSG00000198663	221477
A_33_P3228722	NA	TBCD	tubulin folding cofactor D	ENST00000397466	NA	NA
ERCC-00034_158	NA	NA	NA	NA	NA	NA
A_23_P146146	NM_152565	ATP6V0D2	ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d2	ENST00000285393	ENSG00000147614	245972
A_24_P71973	NM_002253	KDR	kinase insert domain receptor (a type III receptor tyrosine kinase)	ENST00000263923	ENSG00000128052	3791
A_33_P3340085	NM_178136	POLDIP3	polymerase (DNA-directed), delta interacting protein 3	ENST00000339677	ENSG00000100227	84271
A_23_P215175	NM_005692	ABCF2	ATP-binding cassette, sub-family F (GCN20), member 2	ENST00000222388	ENSG00000285292	114483834
A_23_P103588	NM_005518	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2 (mitochondrial)	ENST00000544913	ENSG00000134240	3158
A_21_P0013214	NA	XLOC_l2_013442	NA	NA	NA	NA
A_19_P00806765	NR_034096	FONG	uncharacterized LOC348751	ENST00000416668	ENSG00000226124	348751
A_21_P0004505	NA	XLOC_004405	NA	NA	NA	NA
A_23_P11032	NM_032591	SLC9A7	solute carrier family 9 (sodium/hydrogen exchanger), member 7	ENST00000491894	ENSG00000065923	84679
A_33_P3255314	NR_033985	FLJ26245	uncharacterized LOC400533	NA	NA	NA
A_21_P0005037	XR_108612	LOC100506867	uncharacterized LOC100506867	NA	NA	NA
A_23_P252748	NM_007152	ZNF195	zinc finger protein 195	NA	NA	NA
A_21_P0005215	NA	XLOC_005991	NA	ENST00000442176	ENSG00000229108	NA
A_32_P57810	NM_052916	RNF157	ring finger protein 157	ENST00000319945	ENSG00000141576	114804
A_21_P0002212	XR_109987	LOC100506235	uncharacterized LOC100506235	NA	NA	NA
A_23_P214678	NM_015921	CUTA	cutA divalent cation tolerance homolog (E. coli)	NA	NA	NA
A_24_P11575	NM_016441	CRIM1	cysteine rich transmembrane BMP regulator 1 (chordin-like)	ENST00000280527	ENSG00000150938	51232
A_33_P3368034	NA	NA	NA	NA	NA	NA
A_21_P0008281	NA	XLOC_011080	NA	ENST00000554043	ENSG00000258473	NA
A_33_P3240972	XM_003119593	LOC100134285	putative golgin subfamily A member 6-like protein 6-like	NA	NA	NA
A_21_P0004440	NA	XLOC_004988	NA	NA	NA	NA
A_23_P106463	NM_002537	OAZ2	ornithine decarboxylase antizyme 2	ENST00000403937	NA	NA
A_24_P153043	NR_000029	RPL23AP7	ribosomal protein L23a pseudogene 7	NA	NA	NA
(+)E1A_r60_a22	NA	NA	NA	NA	NA	NA
A_23_P36187	NM_138567	SYT8	synaptotagmin VIII	ENST00000535046	NA	NA
A_21_P0009102	NA	MMP2	matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)	NA	NA	NA
A_24_P149395	NM_015610	WIPI2	WD repeat domain, phosphoinositide interacting 2	NA	NA	NA
A_21_P0012208	NA	XLOC_l2_009273	NA	NA	NA	NA
A_21_P0013981	XM_003119158	CHRM3	cholinergic receptor, muscarinic 3	ENST00000481779	ENSG00000133019	1131
A_21_P0010346	NA	XLOC_014183	NA	ENST00000454253	ENSG00000236641	NA
A_23_P104563	NM_001031847	CPT1A	carnitine palmitoyltransferase 1A (liver)	ENST00000539743	ENSG00000110090	1374
A_19_P00801041	NA	GNASAS	NA	NA	NA	NA
A_23_P82762	NM_001042416	ZNF596	zinc finger protein 596	ENST00000398612	ENSG00000172748	169270
A_24_P336577	NM_019099	C1orf183	chromosome 1 open reading frame 183	ENST00000444059	ENSG00000197852	55924
A_33_P3368144	NA	NA	NA	NA	NA	NA
A_33_P3253583	NM_001005196	OR8B4	olfactory receptor, family 8, subfamily B, member 4	ENST00000356130	ENSG00000280090	283162
A_33_P3317282	NM_138459	NUS1	nuclear undecaprenyl pyrophosphate synthase 1 homolog (S. cerevisiae)	ENST00000368494	ENSG00000153989	116150
A_33_P3341269	NA	NA	NA	NA	NA	NA
A_33_P3500167	NM_001135	ACAN	aggrecan	ENST00000268134	NA	NA
A_21_P0013408	NA	XLOC_l2_013648	NA	ENST00000493400	ENSG00000241449	NA
A_33_P3384108	NM_194255	SLC19A1	solute carrier family 19 (folate transporter), member 1	NA	NA	NA
A_33_P3340264	NA	OTOG	otogelin	ENST00000399397	ENSG00000188162	340990
A_21_P0013519	NA	XLOC_l2_014565	NA	NA	NA	NA
A_23_P36531	NM_004616	TSPAN8	tetraspanin 8	ENST00000546561	ENSG00000127324	7103
A_21_P0007963	NA	XLOC_010491	NA	ENST00000455487	ENSG00000223617	NA
A_33_P3236030	NA	ARHGAP24	Rho GTPase activating protein 24	ENST00000509709	ENSG00000138639	83478
A_21_P0009956	NA	XLOC_013528	NA	ENST00000428529	ENSG00000233277	NA
A_21_P0001650	NA	XLOC_001281	NA	NA	NA	NA
A_21_P0008718	NA	XLOC_011421	NA	NA	NA	NA
A_33_P3273459	NA	SPATA21	spermatogenesis associated 21	ENST00000466212	ENSG00000187144	374955
A_24_P383850	NM_003760	EIF4G3	eukaryotic translation initiation factor 4 gamma, 3	NA	NA	NA
A_23_P354791	NM_182964	NAV2	neuron navigator 2	NA	NA	NA
A_23_P59153	NM_021177	LSM2	LSM2 homolog, U6 small nuclear RNA associated (S. cerevisiae)	ENST00000375661	ENSG00000204392	57819
A_23_P103110	NM_012323	MAFF	v-maf musculoaponeurotic fibrosarcoma oncogene homolog F (avian)	NA	NA	NA
A_23_P344853	NM_015131	WDR43	WD repeat domain 43	ENST00000407426	ENSG00000163811	23160
A_24_P134235	NM_003685	KHSRP	KH-type splicing regulatory protein	ENST00000201886	NA	NA
A_33_P3218772	NM_080599	UPF2	UPF2 regulator of nonsense transcripts homolog (yeast)	ENST00000359268	NA	NA
A_23_P53646	NM_139207	NAP1L1	nucleosome assembly protein 1-like 1	ENST00000261182	ENSG00000187109	4673
A_23_P431505	NA	XKR6	XK, Kell blood group complex subunit-related family, member 6	ENST00000530248	ENSG00000255310	NA
A_21_P0006221	NA	XLOC_007543	NA	NA	NA	NA
A_21_P0007314	NA	XLOC_009365	NA	NA	NA	NA
A_21_P0009162	XR_109374	XLOC_012139	NA	ENST00000443508	ENSG00000233098	NA
A_21_P0010290	NA	XLOC_014105	NA	NA	NA	NA
A_23_P319783	NM_206996	SPAG17	sperm associated antigen 17	ENST00000469128	ENSG00000155761	200162
A_23_P103442	NM_022756	MEAF6	MYST/Esa1-associated factor 6	ENST00000487788	ENSG00000163875	64769
A_21_P0011627	NA	XLOC_l2_005871	NA	NA	NA	NA
A_21_P0009225	NA	XLOC_012116	NA	NA	NA	NA
A_21_P0012192	NA	XLOC_l2_009172	NA	NA	NA	NA
A_21_P0008647	NR_026979	LOC145837	uncharacterized LOC145837	NA	NA	NA
A_33_P3230976	NM_002726	PREP	prolyl endopeptidase	ENST00000535457	NA	NA
A_23_P106675	NM_002661	PLCG2	phospholipase C, gamma 2 (phosphatidylinositol-specific)	ENST00000359376	ENSG00000197943	5336
A_33_P3259954	NA	NA	NA	NA	NA	NA
A_19_P00321284	NR_038988	LOC100287765	NA	NA	NA	NA
A_33_P3233620	NA	NA	NA	ENST00000356822	NA	NA
A_23_P72096	NM_000575	IL1A	interleukin 1, alpha	ENST00000263339	ENSG00000115008	3552
A_32_P231086	NM_198181	GOLGA6L9	golgin A6 family-like 9	ENST00000439287	NA	NA
A_23_P7535	NM_022304	HRH2	histamine receptor H2	ENST00000231683	ENSG00000113749	3274
A_32_P60606	NA	NA	NA	ENST00000391437	ENSG00000212743	NA
A_23_P31073	NM_005375	MYB	v-myb myeloblastosis viral oncogene homolog (avian)	NA	NA	NA
A_32_P85591	NR_003238	H2BFXP	H2B histone family, member X, pseudogene	NA	NA	NA
A_21_P0012632	NA	XLOC_l2_010936	NA	NA	NA	NA
A_33_P3318002	NM_031500	PCDHA4	protocadherin alpha 4	ENST00000356878	ENSG00000204963	56141
A_23_P345710	NM_152531	XXYLT1	xyloside xylosyltransferase 1	ENST00000437101	ENSG00000173950	152002
A_33_P3331085	NM_021982	SEC24A	SEC24 family, member A (S. cerevisiae)	ENST00000398844	ENSG00000113615	10802
A_21_P0000144	NM_001199233	LOC100505478	uncharacterized protein LOC100505478	ENST00000436752	ENSG00000230601	100505478
A_23_P110961	NM_016098	BRP44L	brain protein 44-like	ENST00000341756	ENSG00000060762	51660
A_24_P251734	NM_020116	FSTL5	follistatin-like 5	ENST00000379164	ENSG00000168843	56884
A_23_P166122	NM_006466	POLR3F	polymerase (RNA) III (DNA directed) polypeptide F, 39 kDa	ENST00000377603	ENSG00000132664	10621
A_24_P817863	NM_032504	UNC80	unc-80 homolog (C. elegans)	ENST00000439458	ENSG00000144406	285175
A_23_P113803	NM_007044	KATNA1	katanin p60 (ATPase containing) subunit A 1	ENST00000367411	ENSG00000186625	11104
A_33_P3237364	XR_132715	LOC729032	ribosomal protein L36 pseudogene	NA	NA	NA
A_24_P401090	NA	NA	NA	NA	NA	NA
A_23_P123727	NM_024617	ZCCHC6	zinc finger, CCHC domain containing 6	ENST00000427388	NA	NA
A_23_P213518	NM_001042440	CAST	calpastatin	ENST00000395813	ENSG00000153113	831
A_23_P112113	NM_014846	KIAA0196	KIAA0196	ENST00000318410	ENSG00000164961	9897
A_33_P3292402	NA	LRRIQ3	leucine-rich repeats and IQ motif containing 3	ENST00000468759	ENSG00000162620	127255
A_33_P3291776	NM_018946	NANS	N-acetylneuraminic acid synthase	ENST00000461452	ENSG00000095380	54187
A_33_P3337569	NM_214711	C4orf40	chromosome 4 open reading frame 40	ENST00000509633	ENSG00000187533	401137
A_33_P3222744	NM_015852	ZNF117	zinc finger protein 117	NA	NA	NA
A_24_P3415	NM_181876	PPP2R2C	protein phosphatase 2, regulatory subunit B, gamma	NA	NA	NA
A_33_P3240234	NA	NA	NA	NA	NA	NA
A_23_P362228	NR_033690	C1orf213	chromosome 1 open reading frame 213	ENST00000335648	ENSG00000249087	NA
A_23_P108376	NM_022065	THADA	thyroid adenoma associated	ENST00000467668	ENSG00000115970	63892
A_24_P782308	NM_001144967	NEDD4L	neural precursor cell expressed, developmentally down-regulated 4-like	NA	NA	NA
A_21_P0003880	NA	XLOC_003840	NA	NA	NA	NA
A_33_P3846177	NM_001478	B4GALNT1	beta-1,4-N-acetyl-galactosaminyl transferase 1	ENST00000552468	ENSG00000135454	2583
A_33_P3271634	NA	HLA-DPB1	major histocompatibility complex, class II, DP beta 1	ENST00000466949	ENSG00000236693	3115
A_23_P59388	NM_001723	DST	dystonin	ENST00000370765	ENSG00000151914	667
A_23_P109774	NM_014415	ZBTB11	zinc finger and BTB domain containing 11	ENST00000312938	ENSG00000066422	27107
A_21_P0012394	NA	XLOC_l2_009886	NA	NA	NA	NA
